PLAYER_ID,POSITION,HEIGHT,WEIGHT
2853,Forward-Center,7-0,250
101141,Forward,6-9,235
201588,Guard,6-4,188
201611,Forward,6-6,235
201581,Center-Forward,6-9,242
200755,Guard,6-3,200
201935,Guard,6-5,220
201162,Forward,6-6,237
201973,Forward,6-10,231
201938,Guard,6-0,185
201950,Guard,6-4,220
201977,Guard-Forward,6-4,205
201587,Guard-Forward,6-7,230
201802,Guard,6-2,190
201956,Forward,6-9,225
202130,Forward,6-6,205
201579,Center,7-2,270
200769,Guard,6-3,215
201939,Guard,6-2,185
201959,Forward,6-9,232
201944,Guard-Forward,6-6,220
201951,Guard,5-11,195
201936,Guard,6-6,220
202083,Guard,6-5,220
101198,Guard,6-0,185
202087,Forward,6-6,225
101161,Center-Forward,6-9,240
201948,Forward,6-11,220
201933,Forward,6-9,250
101138,Forward,6-8,250
201963,Forward,6-7,210
201967,Forward,6-8,230
201589,Forward,6-9,235
201599,Center,6-11,265
201971,Center-Forward,6-7,270
202326,Center,6-10,270
202334,Center-Forward,6-9,218
202339,Guard,6-1,214
202323,Guard-Forward,6-6,220
202390,Guard,6-4,210
201945,Guard,6-5,215
202328,Forward-Center,6-10,250
201580,Center-Forward,7-0,270
201949,Forward,6-7,240
201573,Guard,6-3,200
201975,Guard,6-4,210
202322,Guard,6-3,210
202348,Guard,6-5,195
201177,Forward-Center,6-10,240
2743,Forward,6-9,235
202361,Guard-Forward,6-7,215
101162,Center,6-11,240
202331,Forward,6-8,220
201583,Forward,6-9,240
201970,Forward-Guard,6-6,225
2756,Guard,6-7,195
201586,Forward,6-11,235
200761,Forward,6-10,230
201603,Guard-Forward,6-6,205
201962,Guard,6-2,195
201946,,,
202325,Forward-Guard,6-7,215
202329,Forward,6-8,220
101187,Forward-Guard,6-6,220
202340,Guard,6-3,180
202386,Guard,6-3,205
202687,Center,6-8,255
202688,Guard,6-2,182
201957,Center,7-0,275
202718,Forward,6-9,230
202698,Forward,6-9,228
202810,Guard-Forward,6-5,214
202345,Forward,6-7,225
201980,Guard,6-6,215
201974,Forward,6-8,233
202324,Forward,6-9,265
202682,Forward,6-8,240
202388,Guard,6-3,205
202327,Center-Forward,6-10,245
201609,Guard,6-4,190
202330,Forward,6-7,225
202349,Guard,6-6,217
202970,,,
202697,Guard,6-5,212
202738,Guard,5-9,185
101189,Forward,6-8,230
201160,Forward-Center,7-0,240
201952,Guard,6-3,195
202391,Guard,6-3,200
202406,Guard,6-3,180
202695,Forward,6-6,225
202689,Guard,6-0,184
202702,Forward-Center,6-8,220
202338,Forward-Center,6-10,278
202691,Guard,6-5,220
202681,Guard,6-2,195
201991,Guard,6-3,190
202705,Guard,6-5,200
201578,Forward-Center,6-10,255
201593,Center,6-11,307
202335,Forward,6-8,235
201937,Guard,6-2,190
201958,Guard,6-2,185
200749,Center-Forward,6-9,250
202344,Forward,6-8,228
202684,Center-Forward,6-9,254
201985,Guard,6-2,195
203144,Guard,6-6,187
203083,Center,6-11,279
203076,Forward-Center,6-10,253
203085,Guard,6-4,200
203078,Guard,6-4,207
203081,Guard,6-2,200
203079,Guard,6-3,210
202734,Guard,6-3,191
201947,Forward,6-10,234
202066,Guard-Forward,6-5,195
203084,Forward,6-7,225
202710,Forward,6-6,230
202685,Center,6-11,265
201585,Center,7-0,245
202713,Forward,6-8,228
202362,Forward,6-5,210
202336,Forward-Center,6-11,230
202730,Forward-Center,6-9,260
202693,Forward,6-9,245
203090,Forward-Guard,6-7,220
203077,Forward,6-6,232
202696,Center,6-9,260
201600,Center,7-0,255
200782,Forward,6-5,245
202347,Forward,6-7,230
201577,Center,7-1,281
200779,Forward,6-10,225
201168,Center-Forward,6-11,245
202699,Forward,6-8,226
203092,Forward-Center,6-11,250
201961,Guard,6-4,207
202692,Guard,6-5,214
203463,Guard,6-3,195
203148,Guard,6-1,173
201960,Forward,6-6,215
203110,Forward,6-6,230
202683,Center,6-10,250
203507,Forward,6-11,243
203138,Forward,6-8,206
202341,Guard-Forward,6-6,213
203096,Center-Forward,6-9,260
203106,,,
203089,Forward-Center,6-9,219
201941,Forward-Center,6-10,240
203482,Forward-Center,7-0,240
203088,Guard,6-4,200
203114,Forward,6-7,222
202412,Guard,6-5,185
202694,Forward,6-8,218
203487,Guard,6-5,190
203101,Center,6-11,249
203489,Guard,6-4,190
202708,Guard,6-2,175
201976,Guard,6-2,180
202704,Guard,6-2,208
203527,Forward,6-11,230
202714,Guard,6-3,203
203093,Forward,6-9,252
203082,Guard-Forward,6-7,206
203501,Guard-Forward,6-5,205
202389,Center,7-1,275
203100,Guard,6-6,205
203504,Guard,6-0,185
203506,Guard,6-3,213
202333,Forward-Guard,6-6,220
203940,Forward,6-10,237
203458,Center,7-0,250
203952,Forward,6-6,197
202711,Forward,6-7,226
203469,Forward-Center,6-11,240
203957,Guard,6-5,214
202700,Forward-Center,7-0,220
202779,Guard,6-3,190
203901,Guard,6-3,195
203095,Guard-Forward,6-6,205
203476,Center,6-10,248
202355,Center,7-0,265
203477,Guard,6-0,200
203913,Guard,6-5,214
203953,Forward,6-7,245
203109,Forward,6-6,235
203924,Forward,6-7,213
204060,Forward-Guard,6-8,220
203903,Guard,6-5,194
203909,Guard-Forward,6-6,205
203484,Guard,6-5,204
202498,Forward,6-8,225
204038,Guard,6-1,200
203935,Guard,6-3,220
203486,Forward-Center,6-9,254
203521,Guard,6-3,200
203141,Forward,6-9,242
203457,Center-Forward,6-10,220
202703,Forward,6-10,250
203492,Guard,6-3,190
203496,Forward,6-7,209
203918,Guard-Forward,6-8,208
101179,Guard,6-2,190
203497,Center,7-1,258
203498,Guard-Forward,6-6,221
203499,Guard,5-11,175
203524,Forward,6-6,226
203500,Center,6-11,265
204025,Guard,6-0,170
203505,Guard,6-5,200
203897,Guard,6-5,200
203932,Forward,6-8,235
203459,Guard-Forward,6-5,212
203460,Guard-Forward,6-7,210
1626148,Forward-Guard,6-7,224
1627362,Guard,6-2,165
203468,Guard,6-3,190
202709,Guard,6-2,200
1626156,Guard,6-3,193
203471,Guard,6-1,175
1626164,Guard,6-5,206
203926,Forward,6-7,225
1626251,Forward,6-9,220
1626144,Guard,6-3,200
1626163,Forward-Center,7-0,240
203914,Guard,6-4,210
101133,Center,6-11,262
202397,Guard,6-0,175
1626143,Center-Forward,6-10,270
202706,Guard-Forward,6-7,220
1626196,Guard,6-5,200
203944,Forward-Center,6-9,250
1626159,Forward-Guard,6-6,222
1626157,Center-Forward,7-0,248
203145,Guard-Forward,6-4,195
204001,Forward-Center,7-2,240
1626204,Forward-Center,6-6,245
203086,Forward-Center,7-0,260
1626167,Center-Forward,6-11,250
203917,Guard,6-6,207
203999,Center,6-11,284
203490,Forward,6-8,230
201988,Guard,6-2,180
1626178,Forward,6-6,217
1626169,Forward-Guard,6-6,242
203933,Forward,6-8,220
203503,Guard,6-6,213
204020,Guard,6-3,186
203115,Guard,6-5,181
1626161,Center,7-0,240
1627816,Forward,6-9,235
1626150,Guard,6-6,213
1627742,Forward,6-8,190
1627741,Guard,6-4,220
1627747,Guard,6-7,205
203991,Center,6-10,256
203967,Forward-Center,6-10,225
1627734,Forward-Center,6-10,240
1627827,Forward,6-7,220
203922,Forward,6-6,222
1627785,Guard,6-4,213
203210,Forward-Center,6-9,227
1627750,Guard,6-4,215
203516,Forward,6-6,215
203925,Guard-Forward,6-6,220
203954,Center-Forward,7-0,280
202720,Forward,6-10,228
203200,Forward-Guard,6-6,180
203994,Center,6-11,290
1626162,Forward-Guard,6-8,203
1627763,Guard,6-5,229
1627737,Forward,6-9,240
1626158,Forward,6-9,235
203585,Guard,6-4,205
203930,Guard,6-4,212
200771,Guard,6-3,176
203552,Guard,6-1,185
203915,Guard,6-5,215
204456,Guard,6-1,190
1627812,Guard,6-0,178
1626151,Guard,6-6,210
1628935,Guard,6-3,183
201281,Guard,6-3,190
1627732,Guard-Forward,6-10,240
1626171,Forward,6-9,250
203992,Guard,6-5,225
1626166,Guard,6-2,183
1627778,Center,6-10,245
1627814,Guard-Forward,6-6,210
203121,Forward,6-6,225
1628021,Guard-Forward,6-5,219
1628368,Guard,6-3,185
1627749,Guard,6-4,180
1626153,Guard,6-5,185
1628372,Guard,6-2,205
1627756,Guard,6-4,220
203473,Center,6-10,245
1628415,Guard-Forward,6-7,225
1628378,Guard,6-2,215
1627733,Forward,7-0,249
203939,Forward-Center,6-10,240
1628373,Guard,6-4,200
1627832,Guard,6-0,197
1626185,Forward,6-10,239
1628386,Center,6-9,243
1627759,Guard-Forward,6-6,223
1628369,Forward-Guard,6-8,210
203087,Guard-Forward,6-5,180
1626170,Guard,6-4,198
1628381,Forward-Center,6-9,226
203613,Forward,6-6,195
1628404,Guard,6-5,215
1628367,Guard-Forward,6-8,207
1628382,Forward,6-8,220
1628424,Guard,6-5,180
1627739,Guard,6-3,205
203937,Forward-Guard,6-8,230
1628398,Forward,6-8,221
1628374,Forward-Center,7-1,240
1628366,Guard,6-5,190
1628379,Guard,6-5,206
1626209,Forward-Guard,6-8,220
203104,Guard,6-2,189
203488,Forward-Center,6-10,240
1628462,Guard,6-5,196
202357,Forward,6-9,234
1628384,Forward-Guard,6-7,240
1627783,Forward,6-8,245
1626188,Guard,6-1,180
203493,Guard-Forward,6-6,205
203894,Guard,6-0,175
1627746,Forward-Center,6-10,235
1627752,Forward,6-6,218
