PLAYER_ID,POSITION,HEIGHT,WEIGHT
1719,Guard-Forward,6-5,210
1802,Center-Forward,7-0,261
1724,Guard,6-3,184
2084,Forward,6-7,218
43,Guard,6-0,175
1088,Guard,5-11,185
2042,Guard,6-5,205
2032,Forward,6-9,235
77,Guard,6-3,190
1023,Guard,6-5,195
1761,Guard,6-4,210
1751,Center-Forward,6-9,290
979,Center-Forward,6-11,255
2030,Forward,6-9,225
446,Guard,6-5,205
990,Forward,6-7,255
1531,Forward,6-10,253
2033,,,
2034,Guard-Forward,6-8,218
983,Guard,6-1,185
2050,Guard,6-7,220
1727,Forward,6-9,238
1740,Forward,6-10,235
1888,Guard,6-7,193
1728,Forward,,
1513,Center-Forward,6-11,278
1536,Guard-Forward,6-8,220
1905,Forward,6-9,235
2217,Center,7-0,263
2036,Center,7-0,265
1894,Forward,6-6,225
2035,Forward-Guard,6-9,210
2046,Guard,6-5,222
1904,Forward,6-8,235
1901,Forward-Guard,6-5,225
2204,Forward,6-9,222
1944,Forward,6-9,210
2059,Forward,6-8,235
2240,Guard,6-4,215
2045,Forward,6-10,220
1956,Guard-Forward,6-7,220
1521,Guard,6-1,190
2054,Center,7-2,290
2224,Guard,6-3,188
2037,Guard,6-5,200
2260,Center,6-11,249
2202,Guard,6-6,225
1902,Forward-Center,6-11,250
2207,Guard-Forward,6-7,240
1886,Forward,7-0,230
1908,Forward,6-8,230
1563,Guard,6-2,195
1924,Forward,6-9,241
2072,Guard,6-6,215
1737,Center,6-10,250
2200,Center-Forward,7-0,250
2047,Forward,6-6,228
2210,Forward,6-7,233
1729,Guard,6-7,195
1934,Forward-Guard,6-5,195
1763,Forward,6-9,218
2203,Forward,6-8,220
2049,Guard,5-11,170
2031,Forward-Center,6-10,220
1928,Center,7-0,280
2225,Guard,6-2,185
2239,Forward-Guard,6-5,227
1731,Guard,6-0,175
2209,Forward,6-10,235
2405,Forward-Center,6-10,245
2430,Forward,6-9,258
2406,Forward,6-7,228
2402,Guard,6-3,200
2245,Forward,6-8,202
2051,Forward,6-8,220
2400,Forward,6-10,250
1921,Guard,6-6,220
2452,Guard,6-2,185
2048,Center,6-11,265
2215,Center,7-0,255
2398,Guard,6-2,195
1741,Forward-Center,6-10,245
2454,Guard,6-4,190
2198,Center,6-11,290
2124,Forward,6-10,255
1938,Guard,6-6,205
2060,Guard,6-7,224
2229,Guard,6-2,188
1960,Guard,6-4,210
2403,Center-Forward,6-11,250
1542,Center,6-11,270
1747,Guard,6-2,175
2446,Forward,6-7,215
2501,Center-Forward,6-8,245
2206,Forward,6-9,230
1742,Guard,6-1,201
2211,Forward-Center,6-11,245
2199,Center,7-0,235
2428,Forward,6-7,210
1735,Center,7-1,255
2397,Center,7-6,310
2250,Forward,6-6,235
2564,Center-Forward,6-8,250
2073,Forward,6-8,240
2306,Guard,6-2,200
2546,Forward,6-7,238
2418,Guard,6-6,215
2547,Forward,6-11,235
1544,Forward,6-9,235
2549,Center,7-0,265
2404,Forward-Center,6-10,235
1800,Guard,6-3,195
2052,Forward-Guard,6-5,218
2548,Guard,6-4,220
1863,Guard,5-5,133
2248,Guard,6-1,199
2201,Center,7-0,295
2041,Center,6-10,260
2436,Guard,6-3,200
2063,Center,6-11,255
2407,Forward,6-11,240
2553,Forward,6-8,228
2044,Center,7-0,260
2412,Forward,6-7,208
2038,Center,7-1,245
2422,Forward,6-6,210
2572,Forward-Guard,6-7,210
2413,Guard,6-3,165
2586,Guard-Forward,6-5,215
2550,Guard,6-4,190
2544,Forward,6-9,250
2571,Guard,6-3,194
1548,Center-Forward,7-0,250
2043,Guard,6-2,210
2246,Center,6-11,260
2399,Guard-Forward,6-9,230
1952,Guard,6-5,210
2223,Center,6-11,255
2098,Forward,6-10,253
2551,Guard,6-0,165
2419,Forward,6-9,212
2617,Forward,6-7,235
2216,Forward,6-9,250
2738,Guard-Forward,6-6,215
2804,,,
2732,Guard,6-3,205
2243,Forward,6-9,235
2365,Forward-Center,6-10,245
2768,Guard,6-1,190
2424,Guard,6-0,180
2429,Center,6-11,240
2443,Forward,6-9,248
2730,Center-Forward,6-10,265
2731,Center,6-10,255
2410,Guard,6-2,225
2222,Forward,6-7,220
2747,Guard,6-6,220
2749,Guard,6-0,190
2078,Guard,6-3,180
2735,Forward-Guard,6-8,210
2746,Forward,6-9,225
2416,Guard,6-6,215
2693,Guard,6-2,190
2594,Guard-Forward,6-7,212
2557,Guard,6-2,175
2736,Forward,6-9,237
2605,Forward,6-6,200
2408,Center-Forward,6-10,260
2590,Guard,6-1,198
2569,Forward,6-9,195
2420,Center,7-0,240
2056,Center,7-1,255
2624,Forward-Guard,6-6,193
1594,Guard,6-4,190
2733,Guard,6-7,192
101106,Center,7-0,260
101112,Forward-Center,7-0,255
2294,Guard,6-3,200
101111,Forward,6-11,232
101108,Guard,6-0,175
101122,Forward-Guard,6-9,222
2561,Forward,6-9,250
2753,Guard,6-3,180
101114,Guard,6-3,200
2484,Guard,6-5,210
2734,Guard,6-3,185
1922,Center-Forward,7-0,240
2592,Guard-Forward,6-8,218
101127,Guard,6-3,200
101181,Guard,6-3,200
2755,Guard,6-7,199
2039,Guard,6-3,195
101129,Guard,6-3,185
2556,Guard,6-2,205
101107,Forward,6-8,237
2588,Center-Forward,6-10,235
2554,Forward,6-6,215
101126,Guard,5-9,180
2555,Forward-Center,6-10,255
2417,Forward-Guard,6-8,220
101109,Guard,6-1,205
2741,Center,7-1,270
101155,Forward,6-7,245
101136,Guard,6-1,175
101180,,,
2742,Guard,6-0,170
2470,Guard,6-4,190
2581,Guard,6-3,172
2751,,,
2585,Center,6-11,270
200747,Forward,6-8,205
2744,Center,6-10,280
2760,Forward,6-11,260
200745,Center-Forward,7-0,245
101115,Center,7-0,285
2740,Center,7-0,250
1515,Guard,6-6,210
2411,Forward,6-9,221
200750,Guard,6-6,211
101236,Forward-Center,6-6,240
2563,Guard-Forward,6-6,225
2863,Guard-Forward,6-6,217
2545,Center,7-0,275
101135,Forward-Center,6-9,245
101123,Guard-Forward,6-7,205
101124,Forward,6-9,219
2137,Guard-Forward,6-5,220
200778,Guard-Forward,6-7,215
2457,Guard,6-1,185
2574,Forward,6-8,215
200816,Forward,6-9,245
2570,Center,6-10,270
200746,Center-Forward,6-11,250
2575,Forward,6-8,235
101110,Forward-Guard,6-7,230
2440,Forward,6-7,226
2679,Guard,6-6,212
2230,Guard-Forward,6-5,220
1630,Forward-Center,7-0,225
101145,Guard,6-3,185
200765,Guard,6-1,180
200751,Guard,6-4,218
200970,Forward,6-7,190
200752,Forward-Guard,6-8,250
2562,Guard-Forward,6-7,235
101118,Center-Forward,6-9,266
2212,Center,7-0,240
200814,Guard,6-6,189
2754,Guard-Forward,6-4,213
2566,Forward,6-9,207
2772,Forward,6-8,215
2584,Guard,6-3,205
201143,Center-Forward,6-8,240
201154,Forward,6-8,235
101154,Center-Forward,6-11,260
101120,Forward-Guard,6-7,215
2757,Guard,6-3,205
2568,Guard-Forward,6-6,230
200809,Guard,6-2,175
201147,Guard-Forward,6-9,188
200783,Forward,6-7,265
201161,Guard,6-5,210
200789,Guard,6-2,200
2748,Forward-Guard,6-9,205
101177,Center,6-10,245
101128,Guard-Forward,6-7,215
200081,Forward,6-8,205
101131,Forward,6-7,260
201145,Forward,6-8,235
201149,Forward-Center,6-11,232
201202,Center,6-9,245
200770,Guard,6-2,180
200767,Forward-Center,6-10,240
2434,,,
2867,Forward,6-7,215
101235,Guard,6-5,215
201142,Forward,6-11,240
2745,Forward-Guard,6-6,225
200768,Guard,6-0,196
101132,Forward,6-8,234
101150,Guard,6-2,175
2449,Forward,6-9,241
201144,Guard,6-1,175
200794,Forward,6-7,257
201196,Guard,6-3,190
101119,Guard,6-4,215
2427,Guard,6-5,205
200758,Forward,6-7,235
200757,Forward-Guard,6-6,215
201152,Forward,6-8,225
101143,Guard,6-1,175
201146,Forward,7-0,250
201166,Guard,6-0,161
201627,Guard,6-5,210
201575,Guard-Forward,6-6,225
201572,Center,7-1,282
201228,Guard,6-2,175
101139,Guard,6-6,220
201171,Forward,6-9,248
201584,Guard,6-5,215
201571,Guard,5-11,183
201565,Guard,6-3,200
201187,Forward,6-9,235
201569,Guard,6-3,215
201175,Forward-Center,6-9,289
201141,Center,7-0,273
200826,Guard,5-10,180
201574,Forward-Center,6-11,250
201567,Forward-Center,6-10,251
201602,Guard,6-6,201
201601,Forward,6-8,230
201188,Center,6-11,255
201158,Guard,6-5,220
201596,Guard,6-2,190
201563,Forward,6-9,235
201156,Guard-Forward,6-7,210
201564,Guard,6-5,210
201155,Guard,6-5,205
101142,Center,6-10,249
201164,,,
201566,Guard,6-4,200
201150,Forward-Center,7-1,245
200748,Forward,6-10,225
201163,Forward,6-8,235
201576,,,
201229,Forward,6-8,240
201167,Guard,6-5,210
201943,Guard,6-1,170
201858,Forward,6-7,220
201978,Forward,6-7,209
201604,Guard,6-7,210
201568,Forward,6-10,236
201954,Guard,6-0,160
201942,Guard-Forward,6-6,220
201590,Forward,6-11,226
